intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-03-02T13:00:00Z,2021-03-02T14:00:00Z,2021-03-02,6,IRONMTN_2_N001,LMP,36.45231,13:00:00,14
2021-03-02T14:00:00Z,2021-03-02T15:00:00Z,2021-03-02,7,IRONMTN_2_N001,LMP,38.59708,14:00:00,15
2021-03-03T16:00:00Z,2021-03-03T17:00:00Z,2021-03-03,9,IRONMTN_2_N001,LMP,26.7901,16:00:00,17
2021-03-03T17:00:00Z,2021-03-03T18:00:00Z,2021-03-03,10,IRONMTN_2_N001,LMP,22.31258,17:00:00,18
2021-03-03T14:00:00Z,2021-03-03T15:00:00Z,2021-03-03,7,IRONMTN_2_N001,LMP,39.23773,14:00:00,15
2021-03-04T00:00:00Z,2021-03-04T01:00:00Z,2021-03-03,17,IRONMTN_2_N001,LMP,35.02845,00:00:00,1
2021-03-03T08:00:00Z,2021-03-03T09:00:00Z,2021-03-03,1,IRONMTN_2_N001,LMP,32.16877,08:00:00,9
2021-03-03T22:00:00Z,2021-03-03T23:00:00Z,2021-03-03,15,IRONMTN_2_N001,LMP,27.38983,22:00:00,23
2021-03-03T09:00:00Z,2021-03-03T10:00:00Z,2021-03-03,2,IRONMTN_2_N001,LMP,30.36161,09:00:00,10
2021-03-04T05:00:00Z,2021-03-04T06:00:00Z,2021-03-03,22,IRONMTN_2_N001,LMP,38.08316,05:00:00,6
2021-03-04T07:00:00Z,2021-03-04T08:00:00Z,2021-03-03,24,IRONMTN_2_N001,LMP,30.88816,07:00:00,8
2021-03-03T20:00:00Z,2021-03-03T21:00:00Z,2021-03-03,13,IRONMTN_2_N001,LMP,18.53651,20:00:00,21
2021-03-03T21:00:00Z,2021-03-03T22:00:00Z,2021-03-03,14,IRONMTN_2_N001,LMP,23.72921,21:00:00,22
2021-03-04T03:00:00Z,2021-03-04T04:00:00Z,2021-03-03,20,IRONMTN_2_N001,LMP,46.35913,03:00:00,4
2021-03-03T12:00:00Z,2021-03-03T13:00:00Z,2021-03-03,5,IRONMTN_2_N001,LMP,33.46881,12:00:00,13
2021-03-04T02:00:00Z,2021-03-04T03:00:00Z,2021-03-03,19,IRONMTN_2_N001,LMP,53.47474,02:00:00,3
2021-03-03T11:00:00Z,2021-03-03T12:00:00Z,2021-03-03,4,IRONMTN_2_N001,LMP,31.15303,11:00:00,12
2021-03-03T19:00:00Z,2021-03-03T20:00:00Z,2021-03-03,12,IRONMTN_2_N001,LMP,20.16129,19:00:00,20
2021-03-03T23:00:00Z,2021-03-04T00:00:00Z,2021-03-03,16,IRONMTN_2_N001,LMP,29.48075,23:00:00,24
2021-03-04T04:00:00Z,2021-03-04T05:00:00Z,2021-03-03,21,IRONMTN_2_N001,LMP,39.2138,04:00:00,5
2021-03-03T13:00:00Z,2021-03-03T14:00:00Z,2021-03-03,6,IRONMTN_2_N001,LMP,37.18695,13:00:00,14
2021-03-03T15:00:00Z,2021-03-03T16:00:00Z,2021-03-03,8,IRONMTN_2_N001,LMP,32.30886,15:00:00,16
2021-03-03T18:00:00Z,2021-03-03T19:00:00Z,2021-03-03,11,IRONMTN_2_N001,LMP,17.81003,18:00:00,19
2021-03-04T01:00:00Z,2021-03-04T02:00:00Z,2021-03-03,18,IRONMTN_2_N001,LMP,45.65421,01:00:00,2
2021-03-04T06:00:00Z,2021-03-04T07:00:00Z,2021-03-03,23,IRONMTN_2_N001,LMP,33.12815,06:00:00,7
2021-03-03T10:00:00Z,2021-03-03T11:00:00Z,2021-03-03,3,IRONMTN_2_N001,LMP,30.33785,10:00:00,11
2021-03-04T12:00:00Z,2021-03-04T13:00:00Z,2021-03-04,5,IRONMTN_2_N001,LMP,35.12604,12:00:00,13
2021-03-04T09:00:00Z,2021-03-04T10:00:00Z,2021-03-04,2,IRONMTN_2_N001,LMP,29.52727,09:00:00,10
2021-03-04T22:00:00Z,2021-03-04T23:00:00Z,2021-03-04,15,IRONMTN_2_N001,LMP,5.3102,22:00:00,23
2021-03-05T01:00:00Z,2021-03-05T02:00:00Z,2021-03-04,18,IRONMTN_2_N001,LMP,49.01665,01:00:00,2
2021-03-05T02:00:00Z,2021-03-05T03:00:00Z,2021-03-04,19,IRONMTN_2_N001,LMP,58.39898,02:00:00,3
2021-03-04T11:00:00Z,2021-03-04T12:00:00Z,2021-03-04,4,IRONMTN_2_N001,LMP,30.57446,11:00:00,12
2021-03-05T04:00:00Z,2021-03-05T05:00:00Z,2021-03-04,21,IRONMTN_2_N001,LMP,48.42868,04:00:00,5
2021-03-05T07:00:00Z,2021-03-05T08:00:00Z,2021-03-04,24,IRONMTN_2_N001,LMP,36.00572,07:00:00,8
2021-03-04T20:00:00Z,2021-03-04T21:00:00Z,2021-03-04,13,IRONMTN_2_N001,LMP,5.44381,20:00:00,21
2021-03-04T23:00:00Z,2021-03-05T00:00:00Z,2021-03-04,16,IRONMTN_2_N001,LMP,14.82991,23:00:00,24
2021-03-05T00:00:00Z,2021-03-05T01:00:00Z,2021-03-04,17,IRONMTN_2_N001,LMP,32.53905,00:00:00,1
2021-03-04T16:00:00Z,2021-03-04T17:00:00Z,2021-03-04,9,IRONMTN_2_N001,LMP,26.11335,16:00:00,17
2021-03-05T05:00:00Z,2021-03-05T06:00:00Z,2021-03-04,22,IRONMTN_2_N001,LMP,43.81871,05:00:00,6
2021-03-05T06:00:00Z,2021-03-05T07:00:00Z,2021-03-04,23,IRONMTN_2_N001,LMP,38.57366,06:00:00,7
2021-03-04T17:00:00Z,2021-03-04T18:00:00Z,2021-03-04,10,IRONMTN_2_N001,LMP,19.21541,17:00:00,18
2021-03-04T18:00:00Z,2021-03-04T19:00:00Z,2021-03-04,11,IRONMTN_2_N001,LMP,13.37767,18:00:00,19
2021-03-04T21:00:00Z,2021-03-04T22:00:00Z,2021-03-04,14,IRONMTN_2_N001,LMP,4.81944,21:00:00,22
2021-03-04T14:00:00Z,2021-03-04T15:00:00Z,2021-03-04,7,IRONMTN_2_N001,LMP,44.03232,14:00:00,15
2021-03-04T15:00:00Z,2021-03-04T16:00:00Z,2021-03-04,8,IRONMTN_2_N001,LMP,32.91936,15:00:00,16
2021-03-04T19:00:00Z,2021-03-04T20:00:00Z,2021-03-04,12,IRONMTN_2_N001,LMP,9.85355,19:00:00,20
2021-03-05T03:00:00Z,2021-03-05T04:00:00Z,2021-03-04,20,IRONMTN_2_N001,LMP,53.3171,03:00:00,4
2021-03-04T10:00:00Z,2021-03-04T11:00:00Z,2021-03-04,3,IRONMTN_2_N001,LMP,29.34623,10:00:00,11
2021-03-04T08:00:00Z,2021-03-04T09:00:00Z,2021-03-04,1,IRONMTN_2_N001,LMP,29.66598,08:00:00,9
2021-03-04T13:00:00Z,2021-03-04T14:00:00Z,2021-03-04,6,IRONMTN_2_N001,LMP,40.40104,13:00:00,14
2021-03-05T17:00:00Z,2021-03-05T18:00:00Z,2021-03-05,10,IRONMTN_2_N001,LMP,2.02179,17:00:00,18
2021-03-06T05:00:00Z,2021-03-06T06:00:00Z,2021-03-05,22,IRONMTN_2_N001,LMP,41.87054,05:00:00,6
2021-03-05T21:00:00Z,2021-03-05T22:00:00Z,2021-03-05,14,IRONMTN_2_N001,LMP,-1.90152,21:00:00,22
2021-03-05T22:00:00Z,2021-03-05T23:00:00Z,2021-03-05,15,IRONMTN_2_N001,LMP,-0.59407,22:00:00,23
2021-03-05T23:00:00Z,2021-03-06T00:00:00Z,2021-03-05,16,IRONMTN_2_N001,LMP,7.12894,23:00:00,24
2021-03-06T04:00:00Z,2021-03-06T05:00:00Z,2021-03-05,21,IRONMTN_2_N001,LMP,43.36514,04:00:00,5
2021-03-05T13:00:00Z,2021-03-05T14:00:00Z,2021-03-05,6,IRONMTN_2_N001,LMP,39.33296,13:00:00,14
2021-03-06T06:00:00Z,2021-03-06T07:00:00Z,2021-03-05,23,IRONMTN_2_N001,LMP,35.34539,06:00:00,7
2021-03-06T07:00:00Z,2021-03-06T08:00:00Z,2021-03-05,24,IRONMTN_2_N001,LMP,34.35057,07:00:00,8
2021-03-06T00:00:00Z,2021-03-06T01:00:00Z,2021-03-05,17,IRONMTN_2_N001,LMP,32.64544,00:00:00,1
2021-03-06T01:00:00Z,2021-03-06T02:00:00Z,2021-03-05,18,IRONMTN_2_N001,LMP,46.43606,01:00:00,2
2021-03-05T10:00:00Z,2021-03-05T11:00:00Z,2021-03-05,3,IRONMTN_2_N001,LMP,29.40672,10:00:00,11
2021-03-05T20:00:00Z,2021-03-05T21:00:00Z,2021-03-05,13,IRONMTN_2_N001,LMP,-6.10491,20:00:00,21
2021-03-05T11:00:00Z,2021-03-05T12:00:00Z,2021-03-05,4,IRONMTN_2_N001,LMP,29.4519,11:00:00,12
2021-03-05T12:00:00Z,2021-03-05T13:00:00Z,2021-03-05,5,IRONMTN_2_N001,LMP,32.09942,12:00:00,13
2021-03-05T14:00:00Z,2021-03-05T15:00:00Z,2021-03-05,7,IRONMTN_2_N001,LMP,45.73238,14:00:00,15
2021-03-05T16:00:00Z,2021-03-05T17:00:00Z,2021-03-05,9,IRONMTN_2_N001,LMP,8.06182,16:00:00,17
2021-03-06T03:00:00Z,2021-03-06T04:00:00Z,2021-03-05,20,IRONMTN_2_N001,LMP,49.02969,03:00:00,4
2021-03-06T02:00:00Z,2021-03-06T03:00:00Z,2021-03-05,19,IRONMTN_2_N001,LMP,56.93736,02:00:00,3
2021-03-05T08:00:00Z,2021-03-05T09:00:00Z,2021-03-05,1,IRONMTN_2_N001,LMP,30.7569,08:00:00,9
2021-03-05T09:00:00Z,2021-03-05T10:00:00Z,2021-03-05,2,IRONMTN_2_N001,LMP,29.48042,09:00:00,10
2021-03-05T19:00:00Z,2021-03-05T20:00:00Z,2021-03-05,12,IRONMTN_2_N001,LMP,-0.96754,19:00:00,20
2021-03-05T15:00:00Z,2021-03-05T16:00:00Z,2021-03-05,8,IRONMTN_2_N001,LMP,32.28267,15:00:00,16
2021-03-05T18:00:00Z,2021-03-05T19:00:00Z,2021-03-05,11,IRONMTN_2_N001,LMP,0.49398,18:00:00,19
2021-03-06T22:00:00Z,2021-03-06T23:00:00Z,2021-03-06,15,IRONMTN_2_N001,LMP,-4.98671,22:00:00,23
2021-03-07T01:00:00Z,2021-03-07T02:00:00Z,2021-03-06,18,IRONMTN_2_N001,LMP,42.56918,01:00:00,2
2021-03-06T10:00:00Z,2021-03-06T11:00:00Z,2021-03-06,3,IRONMTN_2_N001,LMP,28.59527,10:00:00,11
