intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-07-03T19:00:00Z,2021-07-03T20:00:00Z,2021-07-03,13,IRONMTN_2_N001,LMP,33.45356
2021-07-03T22:00:00Z,2021-07-03T23:00:00Z,2021-07-03,16,IRONMTN_2_N001,LMP,41.40193
2021-07-03T23:00:00Z,2021-07-04T00:00:00Z,2021-07-03,17,IRONMTN_2_N001,LMP,41.10369
2021-07-04T00:00:00Z,2021-07-04T01:00:00Z,2021-07-03,18,IRONMTN_2_N001,LMP,44.67354
2021-07-04T04:00:00Z,2021-07-04T05:00:00Z,2021-07-03,22,IRONMTN_2_N001,LMP,52.6344
2021-07-03T17:00:00Z,2021-07-03T18:00:00Z,2021-07-03,11,IRONMTN_2_N001,LMP,29.64784
2021-07-03T13:00:00Z,2021-07-03T14:00:00Z,2021-07-03,7,IRONMTN_2_N001,LMP,37.90559
2021-07-03T14:00:00Z,2021-07-03T15:00:00Z,2021-07-03,8,IRONMTN_2_N001,LMP,29.88415
2021-07-03T15:00:00Z,2021-07-03T16:00:00Z,2021-07-03,9,IRONMTN_2_N001,LMP,27.05611
2021-07-03T10:00:00Z,2021-07-03T11:00:00Z,2021-07-03,4,IRONMTN_2_N001,LMP,38.83628
2021-07-03T12:00:00Z,2021-07-03T13:00:00Z,2021-07-03,6,IRONMTN_2_N001,LMP,39.44194
2021-07-04T06:00:00Z,2021-07-04T07:00:00Z,2021-07-03,24,IRONMTN_2_N001,LMP,39.6937
2021-07-04T02:00:00Z,2021-07-04T03:00:00Z,2021-07-03,20,IRONMTN_2_N001,LMP,68.5703
2021-07-03T09:00:00Z,2021-07-03T10:00:00Z,2021-07-03,3,IRONMTN_2_N001,LMP,38.29566
2021-07-03T18:00:00Z,2021-07-03T19:00:00Z,2021-07-03,12,IRONMTN_2_N001,LMP,32.67261
2021-07-03T21:00:00Z,2021-07-03T22:00:00Z,2021-07-03,15,IRONMTN_2_N001,LMP,38.4851
2021-07-04T03:00:00Z,2021-07-04T04:00:00Z,2021-07-03,21,IRONMTN_2_N001,LMP,56.86307
2021-07-03T11:00:00Z,2021-07-03T12:00:00Z,2021-07-03,5,IRONMTN_2_N001,LMP,38.94395
2021-07-03T16:00:00Z,2021-07-03T17:00:00Z,2021-07-03,10,IRONMTN_2_N001,LMP,29.06523
2021-07-03T07:00:00Z,2021-07-03T08:00:00Z,2021-07-03,1,IRONMTN_2_N001,LMP,39.61404
2021-07-05T06:00:00Z,2021-07-05T07:00:00Z,2021-07-04,24,IRONMTN_2_N001,LMP,38.04883
2021-07-04T10:00:00Z,2021-07-04T11:00:00Z,2021-07-04,4,IRONMTN_2_N001,LMP,37.07471
2021-07-04T23:00:00Z,2021-07-05T00:00:00Z,2021-07-04,17,IRONMTN_2_N001,LMP,36.11357
2021-07-05T00:00:00Z,2021-07-05T01:00:00Z,2021-07-04,18,IRONMTN_2_N001,LMP,38.47783
2021-07-04T12:00:00Z,2021-07-04T13:00:00Z,2021-07-04,6,IRONMTN_2_N001,LMP,38.62767
2021-07-04T14:00:00Z,2021-07-04T15:00:00Z,2021-07-04,8,IRONMTN_2_N001,LMP,22.96179
2021-07-05T02:00:00Z,2021-07-05T03:00:00Z,2021-07-04,20,IRONMTN_2_N001,LMP,62.41934
2021-07-04T16:00:00Z,2021-07-04T17:00:00Z,2021-07-04,10,IRONMTN_2_N001,LMP,22.1048
2021-07-05T01:00:00Z,2021-07-05T02:00:00Z,2021-07-04,19,IRONMTN_2_N001,LMP,48.39988
2021-07-04T17:00:00Z,2021-07-04T18:00:00Z,2021-07-04,11,IRONMTN_2_N001,LMP,23.43582
2021-07-04T22:00:00Z,2021-07-04T23:00:00Z,2021-07-04,16,IRONMTN_2_N001,LMP,37.40429
2021-07-05T03:00:00Z,2021-07-05T04:00:00Z,2021-07-04,21,IRONMTN_2_N001,LMP,57.48321
2021-07-04T07:00:00Z,2021-07-04T08:00:00Z,2021-07-04,1,IRONMTN_2_N001,LMP,39.70843
2021-07-04T08:00:00Z,2021-07-04T09:00:00Z,2021-07-04,2,IRONMTN_2_N001,LMP,37.91633
2021-07-04T15:00:00Z,2021-07-04T16:00:00Z,2021-07-04,9,IRONMTN_2_N001,LMP,21.21753
2021-07-05T04:00:00Z,2021-07-05T05:00:00Z,2021-07-04,22,IRONMTN_2_N001,LMP,51.35963
2021-07-04T09:00:00Z,2021-07-04T10:00:00Z,2021-07-04,3,IRONMTN_2_N001,LMP,37.10616
2021-07-04T13:00:00Z,2021-07-04T14:00:00Z,2021-07-04,7,IRONMTN_2_N001,LMP,35.68646
2021-07-04T20:00:00Z,2021-07-04T21:00:00Z,2021-07-04,14,IRONMTN_2_N001,LMP,32.84049
2021-07-04T11:00:00Z,2021-07-04T12:00:00Z,2021-07-04,5,IRONMTN_2_N001,LMP,36.02713
2021-07-04T21:00:00Z,2021-07-04T22:00:00Z,2021-07-04,15,IRONMTN_2_N001,LMP,35.36711
2021-07-05T05:00:00Z,2021-07-05T06:00:00Z,2021-07-04,23,IRONMTN_2_N001,LMP,42.40449
2021-07-04T19:00:00Z,2021-07-04T20:00:00Z,2021-07-04,13,IRONMTN_2_N001,LMP,28.96733
2021-07-04T18:00:00Z,2021-07-04T19:00:00Z,2021-07-04,12,IRONMTN_2_N001,LMP,26.10808
2021-07-05T13:00:00Z,2021-07-05T14:00:00Z,2021-07-05,7,IRONMTN_2_N001,LMP,34.57445
2021-07-06T06:00:00Z,2021-07-06T07:00:00Z,2021-07-05,24,IRONMTN_2_N001,LMP,39.911
2021-07-05T16:00:00Z,2021-07-05T17:00:00Z,2021-07-05,10,IRONMTN_2_N001,LMP,19.35885
2021-07-05T08:00:00Z,2021-07-05T09:00:00Z,2021-07-05,2,IRONMTN_2_N001,LMP,36.54613
2021-07-05T12:00:00Z,2021-07-05T13:00:00Z,2021-07-05,6,IRONMTN_2_N001,LMP,37.29766
2021-07-05T14:00:00Z,2021-07-05T15:00:00Z,2021-07-05,8,IRONMTN_2_N001,LMP,24.71818
2021-07-05T18:00:00Z,2021-07-05T19:00:00Z,2021-07-05,12,IRONMTN_2_N001,LMP,25.06984
2021-07-06T04:00:00Z,2021-07-06T05:00:00Z,2021-07-05,22,IRONMTN_2_N001,LMP,54.75072
2021-07-05T21:00:00Z,2021-07-05T22:00:00Z,2021-07-05,15,IRONMTN_2_N001,LMP,37.1474
