intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-06-03T01:00:00Z,2021-06-03T02:00:00Z,2021-06-02,19,IRONMTN_2_N001,LMP,90.03105
2021-06-02T08:00:00Z,2021-06-02T09:00:00Z,2021-06-02,2,IRONMTN_2_N001,LMP,36.25706
2021-06-02T11:00:00Z,2021-06-02T12:00:00Z,2021-06-02,5,IRONMTN_2_N001,LMP,32.56701
2021-06-04T01:00:00Z,2021-06-04T02:00:00Z,2021-06-03,19,IRONMTN_2_N001,LMP,62.56229
2021-06-03T15:00:00Z,2021-06-03T16:00:00Z,2021-06-03,9,IRONMTN_2_N001,LMP,28.11308
2021-06-03T10:00:00Z,2021-06-03T11:00:00Z,2021-06-03,4,IRONMTN_2_N001,LMP,31.55128
2021-06-03T12:00:00Z,2021-06-03T13:00:00Z,2021-06-03,6,IRONMTN_2_N001,LMP,36.64034
2021-06-03T22:00:00Z,2021-06-03T23:00:00Z,2021-06-03,16,IRONMTN_2_N001,LMP,40.99284
2021-06-03T07:00:00Z,2021-06-03T08:00:00Z,2021-06-03,1,IRONMTN_2_N001,LMP,36.16234
2021-06-04T02:00:00Z,2021-06-04T03:00:00Z,2021-06-03,20,IRONMTN_2_N001,LMP,88.33697
2021-06-03T08:00:00Z,2021-06-03T09:00:00Z,2021-06-03,2,IRONMTN_2_N001,LMP,35.93159
2021-06-03T13:00:00Z,2021-06-03T14:00:00Z,2021-06-03,7,IRONMTN_2_N001,LMP,42.37979
2021-06-04T04:00:00Z,2021-06-04T05:00:00Z,2021-06-03,22,IRONMTN_2_N001,LMP,58.61898
2021-06-03T20:00:00Z,2021-06-03T21:00:00Z,2021-06-03,14,IRONMTN_2_N001,LMP,32.75123
2021-06-03T17:00:00Z,2021-06-03T18:00:00Z,2021-06-03,11,IRONMTN_2_N001,LMP,26.47165
2021-06-03T19:00:00Z,2021-06-03T20:00:00Z,2021-06-03,13,IRONMTN_2_N001,LMP,28.50033
2021-06-03T23:00:00Z,2021-06-04T00:00:00Z,2021-06-03,17,IRONMTN_2_N001,LMP,41.00999
2021-06-04T00:00:00Z,2021-06-04T01:00:00Z,2021-06-03,18,IRONMTN_2_N001,LMP,46.87916
2021-06-03T14:00:00Z,2021-06-03T15:00:00Z,2021-06-03,8,IRONMTN_2_N001,LMP,30.99925
2021-06-04T05:00:00Z,2021-06-04T06:00:00Z,2021-06-03,23,IRONMTN_2_N001,LMP,42.38625
2021-06-04T06:00:00Z,2021-06-04T07:00:00Z,2021-06-03,24,IRONMTN_2_N001,LMP,41.19457
2021-06-03T16:00:00Z,2021-06-03T17:00:00Z,2021-06-03,10,IRONMTN_2_N001,LMP,25.97569
2021-06-03T18:00:00Z,2021-06-03T19:00:00Z,2021-06-03,12,IRONMTN_2_N001,LMP,27.70088
2021-06-03T21:00:00Z,2021-06-03T22:00:00Z,2021-06-03,15,IRONMTN_2_N001,LMP,32.90311
2021-06-04T03:00:00Z,2021-06-04T04:00:00Z,2021-06-03,21,IRONMTN_2_N001,LMP,72.10661
2021-06-03T11:00:00Z,2021-06-03T12:00:00Z,2021-06-03,5,IRONMTN_2_N001,LMP,32.59725
2021-06-03T09:00:00Z,2021-06-03T10:00:00Z,2021-06-03,3,IRONMTN_2_N001,LMP,32.76947
2021-06-04T22:00:00Z,2021-06-04T23:00:00Z,2021-06-04,16,IRONMTN_2_N001,LMP,33.29255
2021-06-04T21:00:00Z,2021-06-04T22:00:00Z,2021-06-04,15,IRONMTN_2_N001,LMP,31.06454
2021-06-04T11:00:00Z,2021-06-04T12:00:00Z,2021-06-04,5,IRONMTN_2_N001,LMP,32.1502
2021-06-04T12:00:00Z,2021-06-04T13:00:00Z,2021-06-04,6,IRONMTN_2_N001,LMP,34.48385
2021-06-04T14:00:00Z,2021-06-04T15:00:00Z,2021-06-04,8,IRONMTN_2_N001,LMP,24.01101
2021-06-04T20:00:00Z,2021-06-04T21:00:00Z,2021-06-04,14,IRONMTN_2_N001,LMP,28.32097
2021-06-04T07:00:00Z,2021-06-04T08:00:00Z,2021-06-04,1,IRONMTN_2_N001,LMP,31.28567
2021-06-04T15:00:00Z,2021-06-04T16:00:00Z,2021-06-04,9,IRONMTN_2_N001,LMP,20.07228
2021-06-05T06:00:00Z,2021-06-05T07:00:00Z,2021-06-04,24,IRONMTN_2_N001,LMP,38.43362
