intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-09-02T10:00:00Z,2021-09-02T11:00:00Z,2021-09-02,4,IRONMTN_2_N001,LMP,50.29307
2021-09-03T02:00:00Z,2021-09-03T03:00:00Z,2021-09-02,20,IRONMTN_2_N001,LMP,77.24898
2021-09-02T22:00:00Z,2021-09-02T23:00:00Z,2021-09-02,16,IRONMTN_2_N001,LMP,48.86826
2021-09-04T01:00:00Z,2021-09-04T02:00:00Z,2021-09-03,19,IRONMTN_2_N001,LMP,83.97631
2021-09-03T17:00:00Z,2021-09-03T18:00:00Z,2021-09-03,11,IRONMTN_2_N001,LMP,40.32559
2021-09-03T19:00:00Z,2021-09-03T20:00:00Z,2021-09-03,13,IRONMTN_2_N001,LMP,41.8735
2021-09-03T21:00:00Z,2021-09-03T22:00:00Z,2021-09-03,15,IRONMTN_2_N001,LMP,47.07239
2021-09-03T22:00:00Z,2021-09-03T23:00:00Z,2021-09-03,16,IRONMTN_2_N001,LMP,51.0402
2021-09-03T07:00:00Z,2021-09-03T08:00:00Z,2021-09-03,1,IRONMTN_2_N001,LMP,53.01753
2021-09-03T16:00:00Z,2021-09-03T17:00:00Z,2021-09-03,10,IRONMTN_2_N001,LMP,40.27447
2021-09-03T23:00:00Z,2021-09-04T00:00:00Z,2021-09-03,17,IRONMTN_2_N001,LMP,52.34046
2021-09-03T11:00:00Z,2021-09-03T12:00:00Z,2021-09-03,5,IRONMTN_2_N001,LMP,50.28509
2021-09-03T12:00:00Z,2021-09-03T13:00:00Z,2021-09-03,6,IRONMTN_2_N001,LMP,53.4496
2021-09-04T06:00:00Z,2021-09-04T07:00:00Z,2021-09-03,24,IRONMTN_2_N001,LMP,53.9962
2021-09-03T18:00:00Z,2021-09-03T19:00:00Z,2021-09-03,12,IRONMTN_2_N001,LMP,41.27039
2021-09-04T04:00:00Z,2021-09-04T05:00:00Z,2021-09-03,22,IRONMTN_2_N001,LMP,63.20244
2021-09-04T05:00:00Z,2021-09-04T06:00:00Z,2021-09-03,23,IRONMTN_2_N001,LMP,57.62373
2021-09-03T20:00:00Z,2021-09-03T21:00:00Z,2021-09-03,14,IRONMTN_2_N001,LMP,45.04848
2021-09-04T02:00:00Z,2021-09-04T03:00:00Z,2021-09-03,20,IRONMTN_2_N001,LMP,84.95598
2021-09-03T09:00:00Z,2021-09-03T10:00:00Z,2021-09-03,3,IRONMTN_2_N001,LMP,50.32036
2021-09-03T14:00:00Z,2021-09-03T15:00:00Z,2021-09-03,8,IRONMTN_2_N001,LMP,49.65614
2021-09-03T15:00:00Z,2021-09-03T16:00:00Z,2021-09-03,9,IRONMTN_2_N001,LMP,41.7925
2021-09-03T10:00:00Z,2021-09-03T11:00:00Z,2021-09-03,4,IRONMTN_2_N001,LMP,49.46128
2021-09-03T13:00:00Z,2021-09-03T14:00:00Z,2021-09-03,7,IRONMTN_2_N001,LMP,59.0229
2021-09-04T03:00:00Z,2021-09-04T04:00:00Z,2021-09-03,21,IRONMTN_2_N001,LMP,69.34741
2021-09-04T00:00:00Z,2021-09-04T01:00:00Z,2021-09-03,18,IRONMTN_2_N001,LMP,63.53962
2021-09-03T08:00:00Z,2021-09-03T09:00:00Z,2021-09-03,2,IRONMTN_2_N001,LMP,52.80531
2021-09-04T13:00:00Z,2021-09-04T14:00:00Z,2021-09-04,7,IRONMTN_2_N001,LMP,52.09167
2021-09-04T10:00:00Z,2021-09-04T11:00:00Z,2021-09-04,4,IRONMTN_2_N001,LMP,50.4132
2021-09-05T01:00:00Z,2021-09-05T02:00:00Z,2021-09-04,19,IRONMTN_2_N001,LMP,96.08406
2021-09-05T06:00:00Z,2021-09-05T07:00:00Z,2021-09-04,24,IRONMTN_2_N001,LMP,50.79735
2021-09-04T22:00:00Z,2021-09-04T23:00:00Z,2021-09-04,16,IRONMTN_2_N001,LMP,50.5214
2021-09-04T18:00:00Z,2021-09-04T19:00:00Z,2021-09-04,12,IRONMTN_2_N001,LMP,38.83941
2021-09-04T19:00:00Z,2021-09-04T20:00:00Z,2021-09-04,13,IRONMTN_2_N001,LMP,39.92625
2021-09-04T23:00:00Z,2021-09-05T00:00:00Z,2021-09-04,17,IRONMTN_2_N001,LMP,54.51454
2021-09-04T08:00:00Z,2021-09-04T09:00:00Z,2021-09-04,2,IRONMTN_2_N001,LMP,51.76543
2021-09-05T05:00:00Z,2021-09-05T06:00:00Z,2021-09-04,23,IRONMTN_2_N001,LMP,59.383540000000004
2021-09-05T00:00:00Z,2021-09-05T01:00:00Z,2021-09-04,18,IRONMTN_2_N001,LMP,69.82405
2021-09-04T07:00:00Z,2021-09-04T08:00:00Z,2021-09-04,1,IRONMTN_2_N001,LMP,51.98969
2021-09-04T09:00:00Z,2021-09-04T10:00:00Z,2021-09-04,3,IRONMTN_2_N001,LMP,51.00893
2021-09-04T20:00:00Z,2021-09-04T21:00:00Z,2021-09-04,14,IRONMTN_2_N001,LMP,44.04877
2021-09-05T02:00:00Z,2021-09-05T03:00:00Z,2021-09-04,20,IRONMTN_2_N001,LMP,92.73712
2021-09-04T11:00:00Z,2021-09-04T12:00:00Z,2021-09-04,5,IRONMTN_2_N001,LMP,50.3148
2021-09-04T16:00:00Z,2021-09-04T17:00:00Z,2021-09-04,10,IRONMTN_2_N001,LMP,31.27541
2021-09-04T12:00:00Z,2021-09-04T13:00:00Z,2021-09-04,6,IRONMTN_2_N001,LMP,52.30956
2021-09-04T14:00:00Z,2021-09-04T15:00:00Z,2021-09-04,8,IRONMTN_2_N001,LMP,46.52785
2021-09-04T15:00:00Z,2021-09-04T16:00:00Z,2021-09-04,9,IRONMTN_2_N001,LMP,36.66077
2021-09-04T17:00:00Z,2021-09-04T18:00:00Z,2021-09-04,11,IRONMTN_2_N001,LMP,31.82632
2021-09-04T21:00:00Z,2021-09-04T22:00:00Z,2021-09-04,15,IRONMTN_2_N001,LMP,48.37488
2021-09-05T03:00:00Z,2021-09-05T04:00:00Z,2021-09-04,21,IRONMTN_2_N001,LMP,73.16116
2021-09-05T04:00:00Z,2021-09-05T05:00:00Z,2021-09-04,22,IRONMTN_2_N001,LMP,66.09256
2021-09-05T14:00:00Z,2021-09-05T15:00:00Z,2021-09-05,8,IRONMTN_2_N001,LMP,48.04053
2021-09-05T19:00:00Z,2021-09-05T20:00:00Z,2021-09-05,13,IRONMTN_2_N001,LMP,44.33508
2021-09-05T10:00:00Z,2021-09-05T11:00:00Z,2021-09-05,4,IRONMTN_2_N001,LMP,51.95975
2021-09-06T04:00:00Z,2021-09-06T05:00:00Z,2021-09-05,22,IRONMTN_2_N001,LMP,69.84699
2021-09-05T16:00:00Z,2021-09-05T17:00:00Z,2021-09-05,10,IRONMTN_2_N001,LMP,32.50581
2021-09-06T02:00:00Z,2021-09-06T03:00:00Z,2021-09-05,20,IRONMTN_2_N001,LMP,93.84546
2021-09-05T11:00:00Z,2021-09-05T12:00:00Z,2021-09-05,5,IRONMTN_2_N001,LMP,52.14506
2021-09-05T12:00:00Z,2021-09-05T13:00:00Z,2021-09-05,6,IRONMTN_2_N001,LMP,53.14811
2021-09-05T20:00:00Z,2021-09-05T21:00:00Z,2021-09-05,14,IRONMTN_2_N001,LMP,47.54763
2021-09-06T01:00:00Z,2021-09-06T02:00:00Z,2021-09-05,19,IRONMTN_2_N001,LMP,116.28709
2021-09-05T13:00:00Z,2021-09-05T14:00:00Z,2021-09-05,7,IRONMTN_2_N001,LMP,53.2187
2021-09-05T22:00:00Z,2021-09-05T23:00:00Z,2021-09-05,16,IRONMTN_2_N001,LMP,53.64134
2021-09-05T23:00:00Z,2021-09-06T00:00:00Z,2021-09-05,17,IRONMTN_2_N001,LMP,62.04453
2021-09-06T00:00:00Z,2021-09-06T01:00:00Z,2021-09-05,18,IRONMTN_2_N001,LMP,70.98487
2021-09-05T09:00:00Z,2021-09-05T10:00:00Z,2021-09-05,3,IRONMTN_2_N001,LMP,53.6717
2021-09-06T05:00:00Z,2021-09-06T06:00:00Z,2021-09-05,23,IRONMTN_2_N001,LMP,59.38081
2021-09-05T15:00:00Z,2021-09-05T16:00:00Z,2021-09-05,9,IRONMTN_2_N001,LMP,36.89953
2021-09-05T17:00:00Z,2021-09-05T18:00:00Z,2021-09-05,11,IRONMTN_2_N001,LMP,32.98218
2021-09-05T21:00:00Z,2021-09-05T22:00:00Z,2021-09-05,15,IRONMTN_2_N001,LMP,49.39651
2021-09-06T03:00:00Z,2021-09-06T04:00:00Z,2021-09-05,21,IRONMTN_2_N001,LMP,78.90715
2021-09-05T18:00:00Z,2021-09-05T19:00:00Z,2021-09-05,12,IRONMTN_2_N001,LMP,39.3269
2021-09-05T07:00:00Z,2021-09-05T08:00:00Z,2021-09-05,1,IRONMTN_2_N001,LMP,53.4354
2021-09-06T06:00:00Z,2021-09-06T07:00:00Z,2021-09-05,24,IRONMTN_2_N001,LMP,53.52832
2021-09-05T08:00:00Z,2021-09-05T09:00:00Z,2021-09-05,2,IRONMTN_2_N001,LMP,52.76545
2021-09-06T23:00:00Z,2021-09-07T00:00:00Z,2021-09-06,17,IRONMTN_2_N001,LMP,74.82211
2021-09-07T03:00:00Z,2021-09-07T04:00:00Z,2021-09-06,21,IRONMTN_2_N001,LMP,81.91047
2021-09-07T02:00:00Z,2021-09-07T03:00:00Z,2021-09-06,20,IRONMTN_2_N001,LMP,93.39
2021-09-07T05:00:00Z,2021-09-07T06:00:00Z,2021-09-06,23,IRONMTN_2_N001,LMP,58.60102
2021-09-06T20:00:00Z,2021-09-06T21:00:00Z,2021-09-06,14,IRONMTN_2_N001,LMP,52.37303
2021-09-06T11:00:00Z,2021-09-06T12:00:00Z,2021-09-06,5,IRONMTN_2_N001,LMP,49.80501
2021-09-06T14:00:00Z,2021-09-06T15:00:00Z,2021-09-06,8,IRONMTN_2_N001,LMP,48.25412
2021-09-07T00:00:00Z,2021-09-07T01:00:00Z,2021-09-06,18,IRONMTN_2_N001,LMP,90.83434
2021-09-06T21:00:00Z,2021-09-06T22:00:00Z,2021-09-06,15,IRONMTN_2_N001,LMP,58.1929
2021-09-06T22:00:00Z,2021-09-06T23:00:00Z,2021-09-06,16,IRONMTN_2_N001,LMP,61.32576
2021-09-07T04:00:00Z,2021-09-07T05:00:00Z,2021-09-06,22,IRONMTN_2_N001,LMP,75.94304
2021-09-06T07:00:00Z,2021-09-06T08:00:00Z,2021-09-06,1,IRONMTN_2_N001,LMP,51.49884
2021-09-06T19:00:00Z,2021-09-06T20:00:00Z,2021-09-06,13,IRONMTN_2_N001,LMP,49.2474
2021-09-06T09:00:00Z,2021-09-06T10:00:00Z,2021-09-06,3,IRONMTN_2_N001,LMP,50.31526
2021-09-06T10:00:00Z,2021-09-06T11:00:00Z,2021-09-06,4,IRONMTN_2_N001,LMP,49.14829
2021-09-06T12:00:00Z,2021-09-06T13:00:00Z,2021-09-06,6,IRONMTN_2_N001,LMP,51.31213
2021-09-06T15:00:00Z,2021-09-06T16:00:00Z,2021-09-06,9,IRONMTN_2_N001,LMP,37.71433
2021-09-06T16:00:00Z,2021-09-06T17:00:00Z,2021-09-06,10,IRONMTN_2_N001,LMP,34.73088
2021-09-07T06:00:00Z,2021-09-07T07:00:00Z,2021-09-06,24,IRONMTN_2_N001,LMP,54.29823
2021-09-06T08:00:00Z,2021-09-06T09:00:00Z,2021-09-06,2,IRONMTN_2_N001,LMP,50.78974
2021-09-06T13:00:00Z,2021-09-06T14:00:00Z,2021-09-06,7,IRONMTN_2_N001,LMP,53.194
2021-09-06T17:00:00Z,2021-09-06T18:00:00Z,2021-09-06,11,IRONMTN_2_N001,LMP,40.15251
2021-09-06T18:00:00Z,2021-09-06T19:00:00Z,2021-09-06,12,IRONMTN_2_N001,LMP,44.02939
2021-09-07T01:00:00Z,2021-09-07T02:00:00Z,2021-09-06,19,IRONMTN_2_N001,LMP,130.28008
2021-09-07T14:00:00Z,2021-09-07T15:00:00Z,2021-09-07,8,IRONMTN_2_N001,LMP,61.5124
2021-09-07T15:00:00Z,2021-09-07T16:00:00Z,2021-09-07,9,IRONMTN_2_N001,LMP,47.74551
2021-09-08T04:00:00Z,2021-09-08T05:00:00Z,2021-09-07,22,IRONMTN_2_N001,LMP,83.52187
2021-09-08T01:00:00Z,2021-09-08T02:00:00Z,2021-09-07,19,IRONMTN_2_N001,LMP,152.67088
2021-09-07T08:00:00Z,2021-09-07T09:00:00Z,2021-09-07,2,IRONMTN_2_N001,LMP,49.88542
2021-09-08T05:00:00Z,2021-09-08T06:00:00Z,2021-09-07,23,IRONMTN_2_N001,LMP,71.15375
2021-09-07T21:00:00Z,2021-09-07T22:00:00Z,2021-09-07,15,IRONMTN_2_N001,LMP,75.55816
2021-09-08T06:00:00Z,2021-09-08T07:00:00Z,2021-09-07,24,IRONMTN_2_N001,LMP,61.98493
2021-09-07T20:00:00Z,2021-09-07T21:00:00Z,2021-09-07,14,IRONMTN_2_N001,LMP,65.79589
2021-09-07T10:00:00Z,2021-09-07T11:00:00Z,2021-09-07,4,IRONMTN_2_N001,LMP,51.17684
2021-09-07T12:00:00Z,2021-09-07T13:00:00Z,2021-09-07,6,IRONMTN_2_N001,LMP,54.7581
2021-09-07T18:00:00Z,2021-09-07T19:00:00Z,2021-09-07,12,IRONMTN_2_N001,LMP,49.35722
2021-09-07T19:00:00Z,2021-09-07T20:00:00Z,2021-09-07,13,IRONMTN_2_N001,LMP,56.85533
2021-09-07T22:00:00Z,2021-09-07T23:00:00Z,2021-09-07,16,IRONMTN_2_N001,LMP,83.1485
2021-09-07T17:00:00Z,2021-09-07T18:00:00Z,2021-09-07,11,IRONMTN_2_N001,LMP,45.62682
2021-09-08T00:00:00Z,2021-09-08T01:00:00Z,2021-09-07,18,IRONMTN_2_N001,LMP,109.88376
2021-09-07T09:00:00Z,2021-09-07T10:00:00Z,2021-09-07,3,IRONMTN_2_N001,LMP,50.43174
2021-09-07T13:00:00Z,2021-09-07T14:00:00Z,2021-09-07,7,IRONMTN_2_N001,LMP,71.17102
2021-09-07T16:00:00Z,2021-09-07T17:00:00Z,2021-09-07,10,IRONMTN_2_N001,LMP,48.0319
2021-09-08T02:00:00Z,2021-09-08T03:00:00Z,2021-09-07,20,IRONMTN_2_N001,LMP,129.30748
2021-09-07T11:00:00Z,2021-09-07T12:00:00Z,2021-09-07,5,IRONMTN_2_N001,LMP,50.69623
2021-09-08T03:00:00Z,2021-09-08T04:00:00Z,2021-09-07,21,IRONMTN_2_N001,LMP,90.42859
2021-09-07T23:00:00Z,2021-09-08T00:00:00Z,2021-09-07,17,IRONMTN_2_N001,LMP,85.00124
2021-09-07T07:00:00Z,2021-09-07T08:00:00Z,2021-09-07,1,IRONMTN_2_N001,LMP,53.22398
2021-09-08T15:00:00Z,2021-09-08T16:00:00Z,2021-09-08,9,IRONMTN_2_N001,LMP,75.01783
2021-09-08T09:00:00Z,2021-09-08T10:00:00Z,2021-09-08,3,IRONMTN_2_N001,LMP,70.24894
2021-09-08T23:00:00Z,2021-09-09T00:00:00Z,2021-09-08,17,IRONMTN_2_N001,LMP,140.9338
2021-09-09T01:00:00Z,2021-09-09T02:00:00Z,2021-09-08,19,IRONMTN_2_N001,LMP,270.75607
2021-09-08T19:00:00Z,2021-09-08T20:00:00Z,2021-09-08,13,IRONMTN_2_N001,LMP,102.2535
2021-09-08T16:00:00Z,2021-09-08T17:00:00Z,2021-09-08,10,IRONMTN_2_N001,LMP,73.3917
2021-09-08T13:00:00Z,2021-09-08T14:00:00Z,2021-09-08,7,IRONMTN_2_N001,LMP,137.68845
2021-09-08T22:00:00Z,2021-09-08T23:00:00Z,2021-09-08,16,IRONMTN_2_N001,LMP,139.12814
2021-09-08T12:00:00Z,2021-09-08T13:00:00Z,2021-09-08,6,IRONMTN_2_N001,LMP,96.10672
2021-09-09T05:00:00Z,2021-09-09T06:00:00Z,2021-09-08,23,IRONMTN_2_N001,LMP,109.44821
2021-09-08T08:00:00Z,2021-09-08T09:00:00Z,2021-09-08,2,IRONMTN_2_N001,LMP,75.84993
2021-09-08T20:00:00Z,2021-09-08T21:00:00Z,2021-09-08,14,IRONMTN_2_N001,LMP,110.01635
2021-09-08T21:00:00Z,2021-09-08T22:00:00Z,2021-09-08,15,IRONMTN_2_N001,LMP,116.3463
2021-09-09T00:00:00Z,2021-09-09T01:00:00Z,2021-09-08,18,IRONMTN_2_N001,LMP,164.91566
2021-09-08T11:00:00Z,2021-09-08T12:00:00Z,2021-09-08,5,IRONMTN_2_N001,LMP,80.30944
2021-09-08T18:00:00Z,2021-09-08T19:00:00Z,2021-09-08,12,IRONMTN_2_N001,LMP,85.0472
2021-09-08T07:00:00Z,2021-09-08T08:00:00Z,2021-09-08,1,IRONMTN_2_N001,LMP,78.10776
2021-09-08T17:00:00Z,2021-09-08T18:00:00Z,2021-09-08,11,IRONMTN_2_N001,LMP,80.26868
2021-09-09T04:00:00Z,2021-09-09T05:00:00Z,2021-09-08,22,IRONMTN_2_N001,LMP,143.80342
2021-09-08T14:00:00Z,2021-09-08T15:00:00Z,2021-09-08,8,IRONMTN_2_N001,LMP,100.62348
2021-09-09T06:00:00Z,2021-09-09T07:00:00Z,2021-09-08,24,IRONMTN_2_N001,LMP,103.65479
2021-09-09T03:00:00Z,2021-09-09T04:00:00Z,2021-09-08,21,IRONMTN_2_N001,LMP,144.4273
2021-09-08T10:00:00Z,2021-09-08T11:00:00Z,2021-09-08,4,IRONMTN_2_N001,LMP,70.09172
2021-09-09T02:00:00Z,2021-09-09T03:00:00Z,2021-09-08,20,IRONMTN_2_N001,LMP,201.24511999999999
2021-09-09T18:00:00Z,2021-09-09T19:00:00Z,2021-09-09,12,IRONMTN_2_N001,LMP,136.97452
2021-09-10T05:00:00Z,2021-09-10T06:00:00Z,2021-09-09,23,IRONMTN_2_N001,LMP,147.04305
2021-09-09T22:00:00Z,2021-09-09T23:00:00Z,2021-09-09,16,IRONMTN_2_N001,LMP,231.0469
2021-09-09T23:00:00Z,2021-09-10T00:00:00Z,2021-09-09,17,IRONMTN_2_N001,LMP,247.39072
