intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-05-02T17:00:00Z,2021-05-02T18:00:00Z,2021-05-02,11,IRONMTN_2_N001,LMP,-0.59053,17:00:00,18
2021-05-03T05:00:00Z,2021-05-03T06:00:00Z,2021-05-02,23,IRONMTN_2_N001,LMP,38.32069,05:00:00,6
2021-05-04T01:00:00Z,2021-05-04T02:00:00Z,2021-05-03,19,IRONMTN_2_N001,LMP,42.67358,01:00:00,2
2021-05-03T14:00:00Z,2021-05-03T15:00:00Z,2021-05-03,8,IRONMTN_2_N001,LMP,31.49188,14:00:00,15
2021-05-03T19:00:00Z,2021-05-03T20:00:00Z,2021-05-03,13,IRONMTN_2_N001,LMP,18.24352,19:00:00,20
2021-05-03T11:00:00Z,2021-05-03T12:00:00Z,2021-05-03,5,IRONMTN_2_N001,LMP,37.12221,11:00:00,12
2021-05-03T22:00:00Z,2021-05-03T23:00:00Z,2021-05-03,16,IRONMTN_2_N001,LMP,21.89985,22:00:00,23
2021-05-03T10:00:00Z,2021-05-03T11:00:00Z,2021-05-03,4,IRONMTN_2_N001,LMP,30.97625,10:00:00,11
2021-05-03T15:00:00Z,2021-05-03T16:00:00Z,2021-05-03,9,IRONMTN_2_N001,LMP,21.09371,15:00:00,16
2021-05-04T05:00:00Z,2021-05-04T06:00:00Z,2021-05-03,23,IRONMTN_2_N001,LMP,42.07407,05:00:00,6
2021-05-04T03:00:00Z,2021-05-04T04:00:00Z,2021-05-03,21,IRONMTN_2_N001,LMP,56.47899,03:00:00,4
2021-05-04T00:00:00Z,2021-05-04T01:00:00Z,2021-05-03,18,IRONMTN_2_N001,LMP,29.53812,00:00:00,1
2021-05-03T08:00:00Z,2021-05-03T09:00:00Z,2021-05-03,2,IRONMTN_2_N001,LMP,30.28493,08:00:00,9
2021-05-04T06:00:00Z,2021-05-04T07:00:00Z,2021-05-03,24,IRONMTN_2_N001,LMP,35.18411,06:00:00,7
2021-05-03T20:00:00Z,2021-05-03T21:00:00Z,2021-05-03,14,IRONMTN_2_N001,LMP,18.82829,20:00:00,21
2021-05-03T21:00:00Z,2021-05-03T22:00:00Z,2021-05-03,15,IRONMTN_2_N001,LMP,22.99205,21:00:00,22
2021-05-03T09:00:00Z,2021-05-03T10:00:00Z,2021-05-03,3,IRONMTN_2_N001,LMP,30.08223,09:00:00,10
2021-05-03T16:00:00Z,2021-05-03T17:00:00Z,2021-05-03,10,IRONMTN_2_N001,LMP,19.51695,16:00:00,17
2021-05-03T17:00:00Z,2021-05-03T18:00:00Z,2021-05-03,11,IRONMTN_2_N001,LMP,13.43689,17:00:00,18
2021-05-03T18:00:00Z,2021-05-03T19:00:00Z,2021-05-03,12,IRONMTN_2_N001,LMP,15.28233,18:00:00,19
2021-05-03T23:00:00Z,2021-05-04T00:00:00Z,2021-05-03,17,IRONMTN_2_N001,LMP,17.65207,23:00:00,24
2021-05-04T02:00:00Z,2021-05-04T03:00:00Z,2021-05-03,20,IRONMTN_2_N001,LMP,59.40397,02:00:00,3
2021-05-03T07:00:00Z,2021-05-03T08:00:00Z,2021-05-03,1,IRONMTN_2_N001,LMP,31.94899,07:00:00,8
2021-05-03T12:00:00Z,2021-05-03T13:00:00Z,2021-05-03,6,IRONMTN_2_N001,LMP,43.00933,12:00:00,13
2021-05-03T13:00:00Z,2021-05-03T14:00:00Z,2021-05-03,7,IRONMTN_2_N001,LMP,42.74856,13:00:00,14
2021-05-04T04:00:00Z,2021-05-04T05:00:00Z,2021-05-03,22,IRONMTN_2_N001,LMP,45.50254,04:00:00,5
2021-05-04T23:00:00Z,2021-05-05T00:00:00Z,2021-05-04,17,IRONMTN_2_N001,LMP,32.3901,23:00:00,24
2021-05-04T12:00:00Z,2021-05-04T13:00:00Z,2021-05-04,6,IRONMTN_2_N001,LMP,38.24838,12:00:00,13
2021-05-05T02:00:00Z,2021-05-05T03:00:00Z,2021-05-04,20,IRONMTN_2_N001,LMP,83.27221,02:00:00,3
2021-05-04T09:00:00Z,2021-05-04T10:00:00Z,2021-05-04,3,IRONMTN_2_N001,LMP,31.01401,09:00:00,10
2021-05-04T15:00:00Z,2021-05-04T16:00:00Z,2021-05-04,9,IRONMTN_2_N001,LMP,27.51807,15:00:00,16
2021-05-04T18:00:00Z,2021-05-04T19:00:00Z,2021-05-04,12,IRONMTN_2_N001,LMP,22.37502,18:00:00,19
2021-05-04T11:00:00Z,2021-05-04T12:00:00Z,2021-05-04,5,IRONMTN_2_N001,LMP,34.46327,11:00:00,12
2021-05-05T01:00:00Z,2021-05-05T02:00:00Z,2021-05-04,19,IRONMTN_2_N001,LMP,58.47688,01:00:00,2
2021-05-04T07:00:00Z,2021-05-04T08:00:00Z,2021-05-04,1,IRONMTN_2_N001,LMP,33.84105,07:00:00,8
2021-05-04T08:00:00Z,2021-05-04T09:00:00Z,2021-05-04,2,IRONMTN_2_N001,LMP,32.40023,08:00:00,9
2021-05-04T13:00:00Z,2021-05-04T14:00:00Z,2021-05-04,7,IRONMTN_2_N001,LMP,45.43731,13:00:00,14
2021-05-05T05:00:00Z,2021-05-05T06:00:00Z,2021-05-04,23,IRONMTN_2_N001,LMP,41.2977,05:00:00,6
2021-05-05T06:00:00Z,2021-05-05T07:00:00Z,2021-05-04,24,IRONMTN_2_N001,LMP,36.96773,06:00:00,7
2021-05-05T03:00:00Z,2021-05-05T04:00:00Z,2021-05-04,21,IRONMTN_2_N001,LMP,66.30656,03:00:00,4
2021-05-04T14:00:00Z,2021-05-04T15:00:00Z,2021-05-04,8,IRONMTN_2_N001,LMP,32.10634,14:00:00,15
2021-05-04T19:00:00Z,2021-05-04T20:00:00Z,2021-05-04,13,IRONMTN_2_N001,LMP,25.08415,19:00:00,20
2021-05-04T16:00:00Z,2021-05-04T17:00:00Z,2021-05-04,10,IRONMTN_2_N001,LMP,23.25393,16:00:00,17
2021-05-04T17:00:00Z,2021-05-04T18:00:00Z,2021-05-04,11,IRONMTN_2_N001,LMP,22.93264,17:00:00,18
2021-05-04T20:00:00Z,2021-05-04T21:00:00Z,2021-05-04,14,IRONMTN_2_N001,LMP,28.24681,20:00:00,21
2021-05-04T22:00:00Z,2021-05-04T23:00:00Z,2021-05-04,16,IRONMTN_2_N001,LMP,32.24202,22:00:00,23
2021-05-05T00:00:00Z,2021-05-05T01:00:00Z,2021-05-04,18,IRONMTN_2_N001,LMP,37.03214,00:00:00,1
2021-05-05T04:00:00Z,2021-05-05T05:00:00Z,2021-05-04,22,IRONMTN_2_N001,LMP,53.37835,04:00:00,5
2021-05-04T10:00:00Z,2021-05-04T11:00:00Z,2021-05-04,4,IRONMTN_2_N001,LMP,31.58727,10:00:00,11
2021-05-04T21:00:00Z,2021-05-04T22:00:00Z,2021-05-04,15,IRONMTN_2_N001,LMP,31.02516,21:00:00,22
2021-05-06T06:00:00Z,2021-05-06T07:00:00Z,2021-05-05,24,IRONMTN_2_N001,LMP,37.39171,06:00:00,7
2021-05-06T04:00:00Z,2021-05-06T05:00:00Z,2021-05-05,22,IRONMTN_2_N001,LMP,50.44084,04:00:00,5
2021-05-05T12:00:00Z,2021-05-05T13:00:00Z,2021-05-05,6,IRONMTN_2_N001,LMP,38.18024,12:00:00,13
2021-05-05T18:00:00Z,2021-05-05T19:00:00Z,2021-05-05,12,IRONMTN_2_N001,LMP,19.48471,18:00:00,19
2021-05-05T14:00:00Z,2021-05-05T15:00:00Z,2021-05-05,8,IRONMTN_2_N001,LMP,32.8412,14:00:00,15
2021-05-05T22:00:00Z,2021-05-05T23:00:00Z,2021-05-05,16,IRONMTN_2_N001,LMP,33.82143,22:00:00,23
2021-05-05T10:00:00Z,2021-05-05T11:00:00Z,2021-05-05,4,IRONMTN_2_N001,LMP,32.28526,10:00:00,11
2021-05-05T15:00:00Z,2021-05-05T16:00:00Z,2021-05-05,9,IRONMTN_2_N001,LMP,20.77837,15:00:00,16
2021-05-05T19:00:00Z,2021-05-05T20:00:00Z,2021-05-05,13,IRONMTN_2_N001,LMP,23.19214,19:00:00,20
2021-05-05T23:00:00Z,2021-05-06T00:00:00Z,2021-05-05,17,IRONMTN_2_N001,LMP,36.02677,23:00:00,24
2021-05-06T00:00:00Z,2021-05-06T01:00:00Z,2021-05-05,18,IRONMTN_2_N001,LMP,42.16897,00:00:00,1
2021-05-05T11:00:00Z,2021-05-05T12:00:00Z,2021-05-05,5,IRONMTN_2_N001,LMP,34.51902,11:00:00,12
2021-05-05T20:00:00Z,2021-05-05T21:00:00Z,2021-05-05,14,IRONMTN_2_N001,LMP,26.21636,20:00:00,21
2021-05-05T21:00:00Z,2021-05-05T22:00:00Z,2021-05-05,15,IRONMTN_2_N001,LMP,31.86224,21:00:00,22
2021-05-05T16:00:00Z,2021-05-05T17:00:00Z,2021-05-05,10,IRONMTN_2_N001,LMP,17.16199,16:00:00,17
2021-05-05T17:00:00Z,2021-05-05T18:00:00Z,2021-05-05,11,IRONMTN_2_N001,LMP,18.02473,17:00:00,18
2021-05-06T03:00:00Z,2021-05-06T04:00:00Z,2021-05-05,21,IRONMTN_2_N001,LMP,78.93809,03:00:00,4
2021-05-05T07:00:00Z,2021-05-05T08:00:00Z,2021-05-05,1,IRONMTN_2_N001,LMP,38.06925,07:00:00,8
2021-05-05T08:00:00Z,2021-05-05T09:00:00Z,2021-05-05,2,IRONMTN_2_N001,LMP,35.00795,08:00:00,9
2021-05-06T05:00:00Z,2021-05-06T06:00:00Z,2021-05-05,23,IRONMTN_2_N001,LMP,42.03227,05:00:00,6
