intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-08-03T20:00:00Z,2021-08-03T21:00:00Z,2021-08-03,14,IRONMTN_2_N001,LMP,74.07474
2021-08-04T00:00:00Z,2021-08-04T01:00:00Z,2021-08-03,18,IRONMTN_2_N001,LMP,124.85993
2021-08-03T13:00:00Z,2021-08-03T14:00:00Z,2021-08-03,7,IRONMTN_2_N001,LMP,75.98879
2021-08-03T23:00:00Z,2021-08-04T00:00:00Z,2021-08-03,17,IRONMTN_2_N001,LMP,109.27643
2021-08-03T15:00:00Z,2021-08-03T16:00:00Z,2021-08-03,9,IRONMTN_2_N001,LMP,52.64313
2021-08-03T17:00:00Z,2021-08-03T18:00:00Z,2021-08-03,11,IRONMTN_2_N001,LMP,56.34347
2021-08-03T19:00:00Z,2021-08-03T20:00:00Z,2021-08-03,13,IRONMTN_2_N001,LMP,66.65873
2021-08-03T21:00:00Z,2021-08-03T22:00:00Z,2021-08-03,15,IRONMTN_2_N001,LMP,87.34465
2021-08-04T03:00:00Z,2021-08-04T04:00:00Z,2021-08-03,21,IRONMTN_2_N001,LMP,126.9963
2021-08-03T08:00:00Z,2021-08-03T09:00:00Z,2021-08-03,2,IRONMTN_2_N001,LMP,54.42865
2021-08-03T10:00:00Z,2021-08-03T11:00:00Z,2021-08-03,4,IRONMTN_2_N001,LMP,54.77025
2021-08-03T11:00:00Z,2021-08-03T12:00:00Z,2021-08-03,5,IRONMTN_2_N001,LMP,54.07799
2021-08-04T06:00:00Z,2021-08-04T07:00:00Z,2021-08-03,24,IRONMTN_2_N001,LMP,65.52072
2021-08-03T18:00:00Z,2021-08-03T19:00:00Z,2021-08-03,12,IRONMTN_2_N001,LMP,60.48
2021-08-04T02:00:00Z,2021-08-04T03:00:00Z,2021-08-03,20,IRONMTN_2_N001,LMP,182.34824
2021-08-03T07:00:00Z,2021-08-03T08:00:00Z,2021-08-03,1,IRONMTN_2_N001,LMP,54.35373
2021-08-04T05:00:00Z,2021-08-04T06:00:00Z,2021-08-03,23,IRONMTN_2_N001,LMP,70.74592
2021-08-03T22:00:00Z,2021-08-03T23:00:00Z,2021-08-03,16,IRONMTN_2_N001,LMP,98.65629
2021-08-03T09:00:00Z,2021-08-03T10:00:00Z,2021-08-03,3,IRONMTN_2_N001,LMP,55.50298
2021-08-04T01:00:00Z,2021-08-04T02:00:00Z,2021-08-03,19,IRONMTN_2_N001,LMP,182.59164
2021-08-04T12:00:00Z,2021-08-04T13:00:00Z,2021-08-04,6,IRONMTN_2_N001,LMP,59.383
2021-08-04T08:00:00Z,2021-08-04T09:00:00Z,2021-08-04,2,IRONMTN_2_N001,LMP,56.18338
2021-08-05T05:00:00Z,2021-08-05T06:00:00Z,2021-08-04,23,IRONMTN_2_N001,LMP,72.06348
2021-08-04T22:00:00Z,2021-08-04T23:00:00Z,2021-08-04,16,IRONMTN_2_N001,LMP,104.76161
2021-08-04T14:00:00Z,2021-08-04T15:00:00Z,2021-08-04,8,IRONMTN_2_N001,LMP,61.09708
2021-08-04T20:00:00Z,2021-08-04T21:00:00Z,2021-08-04,14,IRONMTN_2_N001,LMP,74.94523
2021-08-05T00:00:00Z,2021-08-05T01:00:00Z,2021-08-04,18,IRONMTN_2_N001,LMP,121.52631
2021-08-04T17:00:00Z,2021-08-04T18:00:00Z,2021-08-04,11,IRONMTN_2_N001,LMP,56.05759
2021-08-05T04:00:00Z,2021-08-05T05:00:00Z,2021-08-04,22,IRONMTN_2_N001,LMP,105.24773
2021-08-04T23:00:00Z,2021-08-05T00:00:00Z,2021-08-04,17,IRONMTN_2_N001,LMP,113.17874
2021-08-05T01:00:00Z,2021-08-05T02:00:00Z,2021-08-04,19,IRONMTN_2_N001,LMP,211.65718
2021-08-04T07:00:00Z,2021-08-04T08:00:00Z,2021-08-04,1,IRONMTN_2_N001,LMP,62.4656
2021-08-05T03:00:00Z,2021-08-05T04:00:00Z,2021-08-04,21,IRONMTN_2_N001,LMP,135.68611
2021-08-04T09:00:00Z,2021-08-04T10:00:00Z,2021-08-04,3,IRONMTN_2_N001,LMP,56.21393
2021-08-04T10:00:00Z,2021-08-04T11:00:00Z,2021-08-04,4,IRONMTN_2_N001,LMP,56.57437
2021-08-04T13:00:00Z,2021-08-04T14:00:00Z,2021-08-04,7,IRONMTN_2_N001,LMP,77.64687
